"subject","trial","condition","sp","value","stim","acc","value_prioritem1","value_prioritem","exp"
"529.1",10,"distracted - familiar",5,9,"mustard",1,"8",8,1
"529.1",10,"distracted - familiar",6,9,"lane",0,"9",9,1
"529.1",10,"distracted - familiar",7,7,"breath",0,"9",9,1
"529.1",10,"distracted - familiar",8,10,"noodle",0,"7",7,1
"529.1",10,"distracted - familiar",9,6,"pump",0,"10",10,1
"529.1",10,"distracted - familiar",10,8,"spool",0,"6",6,1
"529.1",10,"distracted - familiar",11,1,"carpet",0,"8",8,1
"529.1",10,"distracted - familiar",12,1,"page",0,"1",1,1
"529.1",10,"distracted - familiar",13,3,"cave",0,"1",1,1
"529.1",10,"distracted - familiar",14,3,"locker",0,"3",3,1
"529.1",10,"distracted - familiar",15,5,"shopper",0,"3",3,1
"529.1",10,"distracted - familiar",16,7,"owner",0,"5",5,1
"529.1",10,"distracted - familiar",17,2,"stick",0,"7",7,1
"529.1",10,"distracted - familiar",18,4,"antique",1,"2",2,1
"529.1",10,"distracted - familiar",19,5,"paper",0,"4",4,1
"529.1",10,"distracted - familiar",20,10,"drink",0,"5",5,1
"529.1",14,"distracted - familiar",1,8,"spray",0,NA,NA,1
"529.1",14,"distracted - familiar",2,7,"sink",1,"8",8,1
"529.1",14,"distracted - familiar",3,5,"lotion",0,"7",7,1
"529.1",14,"distracted - familiar",4,7,"bump",1,"5",5,1
"529.1",14,"distracted - familiar",5,9,"sponge",0,"7",7,1
"529.1",14,"distracted - familiar",6,2,"thunder",0,"9",9,1
"529.1",14,"distracted - familiar",7,4,"cellar",0,"2",2,1
"529.1",14,"distracted - familiar",8,2,"journal",0,"4",4,1
"529.1",14,"distracted - familiar",9,9,"camel",0,"2",2,1
"529.1",14,"distracted - familiar",10,8,"goat",0,"9",9,1
"529.1",14,"distracted - familiar",11,3,"stair",0,"8",8,1
"529.1",14,"distracted - familiar",12,1,"group",0,"3",3,1
"529.1",14,"distracted - familiar",13,1,"curb",0,"1",1,1
"529.1",14,"distracted - familiar",14,4,"watch",1,"1",1,1
"529.1",14,"distracted - familiar",15,3,"pole",1,"4",4,1
"529.1",14,"distracted - familiar",16,10,"fork",0,"3",3,1
"529.1",14,"distracted - familiar",17,6,"rail",0,"10",10,1
"529.1",14,"distracted - familiar",18,5,"oatmeal",1,"6",6,1
"529.1",14,"distracted - familiar",19,6,"skull",1,"5",5,1
"529.1",14,"distracted - familiar",20,10,"steel",0,"6",6,1
"529.1",18,"distracted - familiar",1,1,"clam",0,NA,NA,1
"529.1",18,"distracted - familiar",2,6,"throat",0,"1",1,1
"529.1",18,"distracted - familiar",3,8,"stump",0,"6",6,1
"529.1",18,"distracted - familiar",4,4,"fence",1,"8",8,1
"529.1",18,"distracted - familiar",5,3,"corner",1,"4",4,1
"529.1",18,"distracted - familiar",6,4,"crowd",0,"3",3,1
"529.1",18,"distracted - familiar",7,1,"slide",0,"4",4,1
"529.1",18,"distracted - familiar",8,10,"door",1,"1",1,1
"529.1",18,"distracted - familiar",9,5,"freight",0,"10",10,1
"529.1",18,"distracted - familiar",10,2,"mold",0,"5",5,1
"529.1",18,"distracted - familiar",11,8,"steam",0,"2",2,1
"529.1",18,"distracted - familiar",12,5,"brake",0,"8",8,1
"529.1",18,"distracted - familiar",13,3,"olive",0,"5",5,1
"529.1",18,"distracted - familiar",14,7,"file",0,"3",3,1
"529.1",18,"distracted - familiar",15,10,"spoon",0,"7",7,1
"529.1",18,"distracted - familiar",16,6,"guard",1,"10",10,1
"529.1",18,"distracted - familiar",17,2,"port",0,"6",6,1
"529.1",18,"distracted - familiar",18,9,"garbage",0,"2",2,1
"529.1",18,"distracted - familiar",19,7,"inch",0,"9",9,1
"529.1",18,"distracted - familiar",20,9,"toast",1,"7",7,1
"529.1",22,"distracted - familiar",1,8,"shark",1,NA,NA,1
"529.1",22,"distracted - familiar",2,1,"beak",1,"8",8,1
"529.1",22,"distracted - familiar",3,3,"tribe",1,"1",1,1
"529.1",22,"distracted - familiar",4,7,"flash",1,"3",3,1
"529.1",22,"distracted - familiar",5,9,"resort",1,"7",7,1
"529.1",22,"distracted - familiar",6,1,"fable",0,"9",9,1
"529.1",22,"distracted - familiar",7,2,"tune",0,"1",1,1
"529.1",22,"distracted - familiar",8,6,"chuckle",1,"2",2,1
"529.1",22,"distracted - familiar",9,3,"tray",1,"6",6,1
"529.1",22,"distracted - familiar",10,10,"suit",0,"3",3,1
"529.1",22,"distracted - familiar",11,10,"scale",0,"10",10,1
"529.1",22,"distracted - familiar",12,4,"loop",0,"10",10,1
"529.1",22,"distracted - familiar",13,7,"stem",0,"4",4,1
"529.1",22,"distracted - familiar",14,2,"scar",0,"7",7,1
"529.1",22,"distracted - familiar",15,5,"twig",0,"2",2,1
"529.1",22,"distracted - familiar",16,6,"gate",0,"5",5,1
"529.1",22,"distracted - familiar",17,5,"crumb",0,"6",6,1
"529.1",22,"distracted - familiar",18,4,"riddle",0,"5",5,1
"529.1",22,"distracted - familiar",19,8,"miner",0,"4",4,1
"529.1",22,"distracted - familiar",20,9,"coal",1,"8",8,1
"529.1",26,"distracted - familiar",1,10,"coach",1,NA,NA,1
"529.1",26,"distracted - familiar",2,10,"belt",1,"10",10,1
"529.1",26,"distracted - familiar",3,3,"sneeze",0,"10",10,1
"529.1",26,"distracted - familiar",4,2,"pile",1,"3",3,1
